,AMZN
2017-09-26,938.59
2017-09-27,950.88
2017-09-28,956.4
2017-09-29,960.49
2017-10-02,958.79
2017-10-03,957.06
2017-10-04,965.47
2017-10-05,981.14
2017-10-06,989.51
2017-10-09,990.99
2017-10-10,987.2
2017-10-11,995.0
2017-10-12,1001.07
2017-10-13,1003.44
2017-10-16,1006.34
2017-10-17,1008.99
2017-10-18,996.99
2017-10-19,986.6
2017-10-20,982.91
2017-10-23,966.34
2017-10-24,976.0
2017-10-25,972.91
2017-10-26,972.54
2017-10-27,1100.99
2017-10-30,1110.85
2017-10-31,1105.67
2017-11-01,1103.5
2017-11-02,1094.0
2017-11-03,1111.55
2017-11-06,1120.46
2017-11-07,1123.14
2017-11-08,1132.86
2017-11-09,1129.0
2017-11-10,1125.34
2017-11-13,1129.21
2017-11-14,1136.84
2017-11-15,1127.09
2017-11-16,1136.95
2017-11-17,1129.87
2017-11-20,1126.56
2017-11-21,1139.58
2017-11-22,1156.16
2017-11-24,1186.41
2017-11-27,1195.62
2017-11-28,1193.6
2017-11-29,1161.21
2017-11-30,1176.59
2017-12-01,1161.83
2017-12-04,1133.95
2017-12-05,1141.58
2017-12-06,1152.94
2017-12-07,1160.0
2017-12-08,1161.99
2017-12-11,1169.15
2017-12-12,1165.56
2017-12-13,1164.48
2017-12-14,1175.06
2017-12-15,1178.98
2017-12-18,1190.8
2017-12-19,1187.43
2017-12-20,1177.29
2017-12-21,1174.87
2017-12-22,1168.33
2017-12-26,1176.94
2017-12-27,1181.81
2017-12-28,1185.99
2017-12-29,1169.54
2018-01-02,1189.0
2018-01-03,1202.74
2018-01-04,1209.64
2018-01-05,1229.07
2018-01-08,1246.95
2018-01-09,1253.12
2018-01-10,1254.29
2018-01-11,1276.77
2018-01-12,1305.2
2018-01-16,1305.16
2018-01-17,1295.0
2018-01-18,1293.22
2018-01-19,1294.58
2018-01-22,1327.45
2018-01-23,1363.05
2018-01-24,1357.51
2018-01-25,1377.31
2018-01-26,1401.19
2018-01-29,1417.68
2018-01-30,1438.19
2018-01-31,1451.39
2018-02-01,1388.71
2018-02-02,1429.87
2018-02-05,1390.0
2018-02-06,1442.84
2018-02-07,1415.15
2018-02-08,1350.51
2018-02-09,1339.34
2018-02-12,1386.97
2018-02-13,1413.66
2018-02-14,1451.08
2018-02-15,1461.76
2018-02-16,1448.59
2018-02-20,1468.36
2018-02-21,1482.92
2018-02-22,1484.59
2018-02-23,1500.0
2018-02-26,1521.95
2018-02-27,1512.0
2018-02-28,1512.45
2018-03-01,1492.0
2018-03-02,1500.21
2018-03-05,1523.61
2018-03-06,1537.18
